iter	RMSE
205	657.2786686
206	657.2699393
207	657.2539374
208	657.2471432
209	657.2393855
210	657.2311568
211	657.2138391
212	657.2021271
213	657.1978188
214	657.1837198
215	657.1728316
216	657.1664528
217	657.154162
218	657.1461841
219	657.1389498
220	657.1313872
221	657.1264274
222	657.1129989
223	657.0975748
224	657.0893404
225	657.0834794
226	657.0683088
227	657.0567461
228	657.051954
229	657.0468565
230	657.0435638
231	657.0398652
232	657.025557
233	657.0113104
234	657.002435
235	656.9995478
236	656.9943609
237	656.9774518
238	656.9625733
239	656.9505342
240	656.946059
241	656.940955
242	656.9349384
243	656.9231678
244	656.9193756
245	656.9123532
246	656.9060902
247	656.892908
248	656.8817016
249	656.8779849
250	656.8631492
251	656.8604431
252	656.8527901
253	656.8464574
254	656.839941
255	656.8323068
256	656.8205277
257	656.8176889
258	656.8121675
259	656.8018041
260	656.7889041
261	656.7844407
262	656.7779163
263	656.7707918
264	656.7624474
265	656.7538389
266	656.7339497
267	656.7222643
268	656.7196809
269	656.7172196
270	656.7118058
271	656.7000926
272	656.6900153
273	656.6824004
274	656.6752556
275	656.6649566
276	656.6567871
277	656.6459395
278	656.634717
279	656.6291963
280	656.6217
281	656.6080554
282	656.6010803
283	656.5924612
284	656.588794
285	656.5850137
286	656.577135
287	656.5656132
288	656.5576975
289	656.5462659
290	656.5382733
291	656.5360133
292	656.5332649
293	656.5241105
294	656.5212284
295	656.5111987
296	656.5075267
297	656.5058753
298	656.4962533
299	656.4866115
300	656.4795706
301	656.4776197
302	656.4664096
303	656.4612213
304	656.4530467
305	656.4515059
306	656.4453916
307	656.4399793
308	656.4328747
309	656.427217
310	656.4186436
311	656.4137004
312	656.4086592
313	656.4018909
314	656.3986058
315	656.3960281
316	656.3902153
317	656.3864046
318	656.3831774
319	656.3749604
320	656.3690809
321	656.3640366
322	656.3631191
323	656.3609973
324	656.3564637
325	656.352197
326	656.3409241
327	656.3318923
328	656.3221053
329	656.3192572
330	656.3028839
331	656.2972477
332	656.2906507
333	656.2842781
334	656.2803911
335	656.2744665
336	656.2662088
337	656.2617804
338	656.2570695
339	656.2557994
340	656.2477521
341	656.2378175
342	656.2334419
343	656.2268727
344	656.2254724
345	656.2220437
346	656.2188641
347	656.2150135
348	656.210212
349	656.2069044
350	656.2048354
351	656.1985734
352	656.19123
353	656.1881373
354	656.1782494
355	656.1750994
356	656.1687143
357	656.1655111
358	656.1634817
